T_cond (°C),-19.0,-18.0,-17.0,-16.0,-15.0,-14.0,-13.0,-12.0,-11.0,-10.0,-9.0,-8.0,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0
31.0,,,,,1059.7361145109778,1057.8165572916662,1054.7503819530991,1050.5447257637659,1045.2054124815452,1038.7369797691128,1031.1427050465707,1022.4246298363317,1012.5835827273766,1001.6192011071837,989.529951838406,976.3131510424626,961.9649831442383,946.4805193197062,929.8537354674443,912.0775298085522,893.1437402019643,873.0431612275382,851.7655612190634,829.299698967683,805.633340574216,780.7532761540759,754.6453365214076,727.294409869621,698.6844584529098,668.7985352795843,637.6188008254744,605.1265397769764,571.3021778136136,536.1252984413215,499.5746598922458,,,,
32.0,,,,1088.0373741188075,1088.0936540911712,1086.972132063875,1084.6825250342551,1081.2331776066446,1076.631092263445,1070.88195830681,1063.9901792694059,1055.9588987663938,1046.7900248682263,1036.4842531182217,1025.0410883635845,1012.4588655635473,998.734769736331,983.8648551982283,967.8440642285263,950.6662452784466,932.3241708243542,912.809554929313,892.1130707118144,870.2243674392457,847.1320877516055,822.8238847141873,797.286438836623,770.5054750814941,742.4657798710551,713.1512181070915,682.5447502148306,650.6284492229719,617.3835178912358,582.7903058976862,546.8283271026368,509.47627689865516,,,
33.0,,,1113.3042928573693,1115.4223231713952,1116.3263500724493,1116.0287918995546,1114.540632022141,1111.8714504956606,1108.029455448475,1103.0215134457692,1096.8531784457502,1089.5287192033184,1081.0511451298025,1071.4222306922743,1060.642538501849,1048.71144124898,1035.6271426504381,1021.3866975698852,1005.9860314572245,989.4199592377878,971.6822037648242,952.7654139115592,932.6611825186245,911.3600639126614,888.8515915289325,865.1242953327312,840.1657191886596,813.9624382073501,786.5000760833298,757.763322443458,727.7359502204527,696.4008330662299,663.7399628187012,629.7344670357535,594.3646266142571,557.6098935036786,519.4489085852512,,
34.0,,1135.333925701219,1139.6092418188637,1142.6291020144633,1144.4087473242532,1144.9619233097603,1144.300909126627,1142.4365490500536,1139.378284593148,1135.1341860944462,1129.7109831442215,1123.1140935443912,1115.3476507090847,1106.41452952845,1096.3163708113034,1085.0536044493865,1072.6254714648323,1059.0300451070202,1044.264251153357,1028.3238875565398,1011.2036435646505,992.8971184023235,973.3968397466388,952.6942817115638,930.7798829028744,907.6430642342386,883.2722466663952,857.654868906221,830.7774050851215,802.625382441192,773.1833990239563,742.4351414396914,710.363402653607,676.9500998644937,642.1762924711302,606.0222001406943,568.467221053279,529.489950199025,
35.0,1153.9050562006494,1160.443216655909,1165.6790085148202,1169.6305973914293,1172.3146079942728,1173.746141814024,1173.9388032120694,1172.9047298948506,1170.6546251988082,1167.1977905794972,1162.542157349302,1156.6943171430564,1149.6595508785936,1141.4418561467328,1132.0439730942999,1121.4674089147873,1109.712461096782,1096.7782395951212,1082.6626880849856,1067.3626044512146,1050.8736606507293,1033.1904220483293,1014.3063664769994,994.213902735557,972.9043891148382,950.3681516397255,926.5945022029758,901.5717566350945,875.2872527363772,847.7273683014458,818.8775391596885,788.7222772537439,757.2451887752551,724.4289923760368,690.2555374758075,654.7058226774296,617.7600143677378,579.3974653716149,539.5967339249441
36.0,1177.6945104309186,1185.2565127921757,1191.484781076857,1196.3989036543428,1200.0169126428768,1202.3552927680778,1203.4290025546925,1203.251502496614,1201.8347867126276,1199.1894158552925,1195.3245498923463,1190.2479799541213,1183.9661588249771,1176.4842298909375,1167.8060545311366,1157.9342380233509,1146.8701540906188,1134.6139682456235,1121.1646600935603,1106.520044752426,1090.6767935387327,1073.6304540296983,1055.3754697707152,1035.9051993395524,1015.2119353890713,993.2869233520381,970.120379999386,945.7015119040725,920.0185338441521,893.0586871818796,864.8082582476627,835.2525967556235,804.3761342735977,772.1624027686908,738.5940532518526,703.6528745335769,667.319812172957,629.5749874796661,590.3977168479139
37.0,1201.1232844277954,1209.7432771428903,1216.9969503806014,1222.9053256860066,1227.4878621583575,1230.7624527409305,1232.7454379970588,1233.4516303014852,1232.8943437771622,1231.0854269377623,1228.0352961037809,1223.7529684114847,1218.2460937414487,1211.5209852131854,1203.5826481268564,1194.4348073568926,1184.0799332868532,1172.5192664237854,1159.7528408468697,1145.7795066515346,1130.5969515445468,1114.201721710456,1096.589242235127,1077.7538367964598,1057.6887472748513,1036.386152963558,1013.8371895865148,990.0319681843312,964.9595939102392,938.6081847800058,910.9648904106898,882.015910780316,851.7465150354568,820.1410603713823,787.1830110109379,752.8549572960048,717.1386349781027,680.0149445600348,641.4639709816031
38.0,1224.1591211404557,1233.8721812521096,1242.1851166857307,1249.120383228699,1254.6988806438342,1258.9399315634178,1261.861284571247,1263.479132209587,1263.8081377352507,1262.8614665494486,1260.6508196587158,1257.1864675002166,1252.477283128441,1246.530774189333,1239.3531134172167,1230.9491675671177,1221.3225248151546,1210.4755207338478,1198.4092629823679,1185.1236548695306,1170.6174179482746,1154.8881137696576,1137.932165097365,1119.7448762909535,1100.3204535415264,1079.6520246363832,1057.7316584771381,1034.5503844212358,1010.0982114973561,984.364147546605,957.3362183313235,929.0014866492244,899.3460714849596,868.3551672275039,836.0130629831405,802.3031619998326,767.2080012941368,730.7092713259414,692.7878360272854
39.0,1246.7689989377218,1257.6111190062454,1267.018098815816,1275.0138169741672,1281.6206195158093,1286.8592752038592,1290.748963684262,1293.3072844338233,1294.550278404401,1294.4924569648667,1293.1468345867472,1290.5249629802595,1286.6369652499986,1281.4915692056238,1275.0961393692162,1267.456707464605,1258.5780013411281,1248.463472390222,1237.1153215688544,1224.5345241757855,1210.720853538411,1195.672903741624,1179.3881117136366,1161.8627783736506,1143.0920895563986,1123.0701363856556,1101.7899353392681,1079.2434480849367,1055.4216011466574,1030.3143054623888,1003.9104758820904,976.1980506505191,947.164010912293,916.7944002721854,885.0743444442968,851.9880710087402,817.5189293715141,781.6494107670744,744.3611686230475
